csq	mu	n_singletons	n_obs	ps	se	ps_pred	maps	ci95
synonymous	5.987557900277113e-09	1395327	2810047	0.4965493459717933	0.000298265395542905	0.4965493459717932	0.0	0.0005846001752640938
missense	5.01991745810432e-09	3297481	6201057	0.5317611174998069	0.00020038221126292028	0.5061027305602968	0.026	0.0003927491340753237
nonsense	4.957894904789623e-09	117416	192416	0.6102195243638783	0.0011118149233364987	0.5067150709288387	0.104	0.0021791572497395374
nmd_target	5.003375819929913e-09	69208	111290	0.6218707880312696	0.0014535906537612045	0.5062660439402636	0.116	0.0028490376813719606
long_exon	4.798374047657643e-09	7895	12338	0.6398930134543687	0.00432162495767669	0.5082899990029977	0.132	0.008470384917046313
distal_nmd	4.82398806060606e-09	29094	49500	0.5877575757575758	0.0022124469195123446	0.5080371152810217	0.08	0.004336395962244196
start_proximal	5.141168757776856e-09	11219	19288	0.5816569888013272	0.003551862423962788	0.504905632705409	0.077	0.006961650350967064
